HeadTop_X,HeadTop_Y,HeadTop_Z,HeadFront_X,HeadFront_Y,HeadFront_Z,HeadSide_X,HeadSide_Y,HeadSide_Z
-355.0,1829.0,-128.0,-446.0,1683.0,-178.0,-377.0,1749.0,14.0
-358.0,1842.0,-128.0,-450.0,1695.0,-179.0,-380.0,1761.0,14.0
-360.0,1854.0,-129.0,-453.0,1706.0,-180.0,-383.0,1773.0,14.0
-363.0,1867.0,-130.0,-456.0,1718.0,-181.0,-385.0,1785.0,15.0
-365.0,1880.0,-131.0,-459.0,1730.0,-183.0,-388.0,1797.0,15.0
-368.0,1893.0,-132.0,-462.0,1742.0,-184.0,-391.0,1809.0,15.0
-370.0,1906.0,-133.0,-465.0,1754.0,-185.0,-393.0,1822.0,15.0
-373.0,1919.0,-134.0,-469.0,1766.0,-186.0,-396.0,1834.0,15.0
-375.0,1932.0,-135.0,-472.0,1778.0,-188.0,-399.0,1847.0,15.0
-378.0,1945.0,-136.0,-475.0,1790.0,-189.0,-402.0,1860.0,15.0
-381.0,1959.0,-137.0,-478.0,1802.0,-190.0,-404.0,1872.0,15.0
-383.0,1972.0,-138.0,-482.0,1815.0,-192.0,-407.0,1885.0,15.0
-386.0,1986.0,-139.0,-485.0,1827.0,-193.0,-410.0,1898.0,16.0
-389.0,1999.0,-140.0,-488.0,1840.0,-194.0,-413.0,1911.0,16.0
-391.0,2013.0,-141.0,-492.0,1852.0,-196.0,-416.0,1924.0,16.0
-394.0,2027.0,-142.0,-495.0,1865.0,-197.0,-418.0,1937.0,16.0
-397.0,2041.0,-143.0,-498.0,1878.0,-198.0,-421.0,1951.0,16.0
-399.0,2055.0,-144.0,-502.0,1891.0,-200.0,-424.0,1964.0,16.0
-402.0,2069.0,-145.0,-505.0,1904.0,-201.0,-427.0,1978.0,16.0
-405.0,2083.0,-146.0,-509.0,1917.0,-202.0,-430.0,1991.0,16.0
-408.0,2097.0,-147.0,-512.0,1930.0,-204.0,-433.0,2005.0,16.0
-410.0,2112.0,-148.0,-516.0,1943.0,-205.0,-436.0,2019.0,17.0
-413.0,2126.0,-149.0,-519.0,1957.0,-207.0,-439.0,2033.0,17.0
-416.0,2141.0,-150.0,-523.0,1970.0,-208.0,-442.0,2047.0,17.0
-419.0,2156.0,-151.0,-527.0,1984.0,-210.0,-445.0,2061.0,17.0
-422.0,2170.0,-152.0,-530.0,1997.0,-211.0,-448.0,2075.0,17.0
-425.0,2185.0,-153.0,-534.0,2011.0,-212.0,-451.0,2089.0,17.0
-428.0,2200.0,-154.0,-538.0,2025.0,-214.0,-454.0,2103.0,17.0
-431.0,2216.0,-155.0,-541.0,2039.0,-215.0,-457.0,2118.0,17.0
-434.0,2231.0,-156.0,-545.0,2053.0,-217.0,-461.0,2132.0,17.0
-437.0,2246.0,-157.0,-549.0,2067.0,-218.0,-464.0,2147.0,18.0
-440.0,2262.0,-158.0,-552.0,2081.0,-220.0,-467.0,2162.0,18.0
-443.0,2277.0,-159.0,-556.0,2095.0,-221.0,-470.0,2177.0,18.0
-446.0,2293.0,-160.0,-560.0,2110.0,-223.0,-473.0,2192.0,18.0
-449.0,2308.0,-161.0,-564.0,2124.0,-224.0,-477.0,2207.0,18.0
-452.0,2324.0,-162.0,-568.0,2139.0,-226.0,-480.0,2222.0,18.0
-455.0,2340.0,-164.0,-572.0,2153.0,-228.0,-483.0,2237.0,18.0
-458.0,2356.0,-165.0,-576.0,2168.0,-229.0,-487.0,2252.0,18.0
-461.0,2373.0,-166.0,-580.0,2183.0,-231.0,-490.0,2268.0,19.0
-464.0,2389.0,-167.0,-584.0,2198.0,-232.0,-493.0,2284.0,19.0
-468.0,2405.0,-168.0,-588.0,2213.0,-234.0,-497.0,2299.0,19.0
-471.0,2422.0,-169.0,-592.0,2228.0,-236.0,-500.0,2315.0,19.0
-474.0,2438.0,-170.0,-596.0,2244.0,-237.0,-504.0,2331.0,19.0
-477.0,2455.0,-172.0,-600.0,2259.0,-239.0,-507.0,2347.0,19.0
-481.0,2472.0,-173.0,-604.0,2275.0,-240.0,-511.0,2363.0,19.0
-484.0,2489.0,-174.0,-608.0,2290.0,-242.0,-514.0,2379.0,19.0
-487.0,2506.0,-175.0,-612.0,2306.0,-244.0,-518.0,2396.0,20.0
-491.0,2523.0,-176.0,-617.0,2322.0,-245.0,-521.0,2412.0,20.0
-494.0,2541.0,-178.0,-621.0,2338.0,-247.0,-525.0,2429.0,20.0
-497.0,2558.0,-179.0,-625.0,2354.0,-249.0,-528.0,2445.0,20.0
-501.0,2576.0,-180.0,-629.0,2370.0,-251.0,-532.0,2462.0,20.0
-504.0,2594.0,-181.0,-634.0,2386.0,-252.0,-536.0,2479.0,20.0
-508.0,2611.0,-183.0,-638.0,2403.0,-254.0,-539.0,2496.0,20.0
-511.0,2629.0,-184.0,-642.0,2419.0,-256.0,-543.0,2513.0,21.0
-515.0,2647.0,-185.0,-647.0,2436.0,-257.0,-547.0,2531.0,21.0
-518.0,2666.0,-186.0,-651.0,2453.0,-259.0,-551.0,2548.0,21.0
-522.0,2684.0,-188.0,-656.0,2470.0,-261.0,-554.0,2566.0,21.0
-525.0,2702.0,-189.0,-660.0,2487.0,-263.0,-558.0,2583.0,21.0
-529.0,2721.0,-190.0,-665.0,2504.0,-265.0,-562.0,2601.0,21.0
-533.0,2740.0,-192.0,-669.0,2521.0,-266.0,-566.0,2619.0,21.0
-536.0,2759.0,-193.0,-674.0,2538.0,-268.0,-570.0,2637.0,22.0
-540.0,2777.0,-194.0,-679.0,2556.0,-270.0,-574.0,2655.0,22.0
-544.0,2797.0,-196.0,-683.0,2573.0,-272.0,-578.0,2673.0,22.0
-547.0,2816.0,-197.0,-688.0,2591.0,-274.0,-582.0,2692.0,22.0
-551.0,2835.0,-198.0,-693.0,2609.0,-276.0,-586.0,2710.0,22.0
-555.0,2855.0,-200.0,-698.0,2627.0,-278.0,-590.0,2729.0,22.0
-559.0,2874.0,-201.0,-702.0,2645.0,-280.0,-594.0,2748.0,23.0
-563.0,2894.0,-202.0,-707.0,2663.0,-281.0,-598.0,2766.0,23.0
-567.0,2914.0,-204.0,-712.0,2681.0,-283.0,-602.0,2785.0,23.0
-570.0,2934.0,-205.0,-717.0,2700.0,-285.0,-606.0,2805.0,23.0
-574.0,2954.0,-207.0,-722.0,2718.0,-287.0,-610.0,2824.0,23.0
-578.0,2974.0,-208.0,-727.0,2737.0,-289.0,-614.0,2843.0,23.0
-582.0,2995.0,-209.0,-732.0,2756.0,-291.0,-619.0,2863.0,23.0
-586.0,3016.0,-211.0,-737.0,2775.0,-293.0,-623.0,2883.0,24.0
-590.0,3036.0,-212.0,-742.0,2794.0,-295.0,-627.0,2902.0,24.0
-594.0,3057.0,-214.0,-747.0,2813.0,-297.0,-631.0,2922.0,24.0
-599.0,3078.0,-215.0,-752.0,2832.0,-299.0,-636.0,2942.0,24.0
-603.0,3099.0,-217.0,-757.0,2852.0,-301.0,-640.0,2963.0,24.0
-607.0,3121.0,-218.0,-763.0,2872.0,-304.0,-645.0,2983.0,24.0
-611.0,3142.0,-220.0,-768.0,2891.0,-306.0,-649.0,3004.0,25.0
-615.0,3164.0,-221.0,-773.0,2911.0,-308.0,-653.0,3024.0,25.0
-619.0,3185.0,-223.0,-778.0,2931.0,-310.0,-658.0,3045.0,25.0
-624.0,3207.0,-224.0,-784.0,2951.0,-312.0,-662.0,3066.0,25.0
-628.0,3229.0,-226.0,-789.0,2972.0,-314.0,-667.0,3087.0,25.0
-632.0,3252.0,-227.0,-795.0,2992.0,-316.0,-672.0,3108.0,25.0
-637.0,3274.0,-229.0,-800.0,3013.0,-318.0,-676.0,3130.0,26.0
-641.0,3297.0,-231.0,-806.0,3033.0,-321.0,-681.0,3151.0,26.0
-645.0,3319.0,-232.0,-811.0,3054.0,-323.0,-686.0,3173.0,26.0
-650.0,3342.0,-234.0,-817.0,3075.0,-325.0,-690.0,3195.0,26.0
-654.0,3365.0,-235.0,-822.0,3096.0,-327.0,-695.0,3217.0,26.0
-659.0,3388.0,-237.0,-828.0,3118.0,-330.0,-700.0,3239.0,27.0
-663.0,3411.0,-239.0,-834.0,3139.0,-332.0,-705.0,3261.0,27.0
-668.0,3435.0,-240.0,-839.0,3161.0,-334.0,-709.0,3283.0,27.0
-672.0,3459.0,-242.0,-845.0,3182.0,-336.0,-714.0,3306.0,27.0
-677.0,3482.0,-244.0,-851.0,3204.0,-339.0,-719.0,3329.0,27.0
-682.0,3506.0,-245.0,-857.0,3226.0,-341.0,-724.0,3352.0,27.0
-686.0,3530.0,-247.0,-863.0,3249.0,-343.0,-729.0,3375.0,28.0
-691.0,3555.0,-249.0,-869.0,3271.0,-346.0,-734.0,3398.0,28.0
-696.0,3579.0,-250.0,-875.0,3293.0,-348.0,-739.0,3421.0,28.0
-701.0,3604.0,-252.0,-881.0,3316.0,-351.0,-744.0,3445.0,28.0
-706.0,3628.0,-254.0,-887.0,3339.0,-353.0,-749.0,3468.0,28.0
-710.0,3653.0,-256.0,-893.0,3362.0,-355.0,-755.0,3492.0,29.0
-715.0,3679.0,-257.0,-899.0,3385.0,-358.0,-760.0,3516.0,29.0
-720.0,3704.0,-259.0,-905.0,3408.0,-360.0,-765.0,3540.0,29.0
-725.0,3729.0,-261.0,-911.0,3432.0,-363.0,-770.0,3565.0,29.0
-730.0,3755.0,-263.0,-918.0,3455.0,-365.0,-776.0,3589.0,29.0
-735.0,3781.0,-264.0,-924.0,3479.0,-368.0,-781.0,3614.0,30.0
-740.0,3807.0,-266.0,-930.0,3503.0,-370.0,-786.0,3639.0,30.0
-745.0,3833.0,-268.0,-937.0,3527.0,-373.0,-792.0,3664.0,30.0
-750.0,3859.0,-270.0,-943.0,3551.0,-375.0,-797.0,3689.0,30.0
-756.0,3886.0,-272.0,-950.0,3576.0,-378.0,-803.0,3714.0,30.0
-761.0,3913.0,-274.0,-956.0,3600.0,-381.0,-808.0,3740.0,31.0
-766.0,3939.0,-276.0,-963.0,3625.0,-383.0,-814.0,3766.0,31.0
-771.0,3967.0,-278.0,-969.0,3650.0,-386.0,-819.0,3792.0,31.0
-777.0,3994.0,-279.0,-976.0,3675.0,-389.0,-825.0,3818.0,31.0
-782.0,4021.0,-281.0,-983.0,3700.0,-391.0,-831.0,3844.0,32.0
-787.0,4049.0,-283.0,-989.0,3726.0,-394.0,-836.0,3870.0,32.0
-793.0,4077.0,-285.0,-996.0,3751.0,-397.0,-842.0,3897.0,32.0
-798.0,4105.0,-287.0,-1003.0,3777.0,-399.0,-848.0,3924.0,32.0
-804.0,4133.0,-289.0,-1010.0,3803.0,-402.0,-854.0,3951.0,32.0
-809.0,4161.0,-291.0,-1017.0,3829.0,-405.0,-860.0,3978.0,33.0
-1050.0,1480.0,-1352.0,-1055.0,1335.0,-1337.0,-1005.0,1441.0,-1243.0
-1050.0,1480.0,-1352.0,-1055.0,1335.0,-1337.0,-1005.0,1441.0,-1243.0
-1050.0,1480.0,-1352.0,-1055.0,1335.0,-1337.0,-1005.0,1441.0,-1243.0
-1050.0,1480.0,-1352.0,-1055.0,1335.0,-1337.0,-1005.0,1441.0,-1243.0
-1050.0,1480.0,-1352.0,-1055.0,1335.0,-1337.0,-1005.0,1441.0,-1243.0
-1046.0,1474.0,-1342.0,-1052.0,1331.0,-1329.0,-1001.0,1436.0,-1234.0
-1046.0,1474.0,-1341.0,-1051.0,1331.0,-1328.0,-1000.0,1436.0,-1234.0
-1046.0,1473.0,-1339.0,-1051.0,1330.0,-1327.0,-999.0,1435.0,-1232.0
-1045.0,1473.0,-1337.0,-1050.0,1330.0,-1325.0,-998.0,1434.0,-1230.0
-1043.0,1471.0,-1334.0,-1049.0,1329.0,-1322.0,-997.0,1432.0,-1228.0
-1041.0,1468.0,-1330.0,-1047.0,1327.0,-1319.0,-995.0,1430.0,-1225.0
-1041.0,1467.0,-1328.0,-1046.0,1326.0,-1317.0,-994.0,1429.0,-1223.0
-1040.0,1466.0,-1326.0,-1045.0,1325.0,-1315.0,-993.0,1428.0,-1221.0
-1038.0,1464.0,-1323.0,-1043.0,1324.0,-1313.0,-991.0,1426.0,-1219.0
-1037.0,1463.0,-1320.0,-1042.0,1322.0,-1310.0,-990.0,1424.0,-1216.0
-1036.0,1461.0,-1318.0,-1040.0,1321.0,-1308.0,-989.0,1422.0,-1214.0
-1034.0,1459.0,-1316.0,-1039.0,1319.0,-1306.0,-987.0,1421.0,-1212.0
-1033.0,1458.0,-1313.0,-1038.0,1318.0,-1304.0,-986.0,1419.0,-1210.0
-1032.0,1456.0,-1311.0,-1036.0,1316.0,-1302.0,-985.0,1417.0,-1208.0
-1030.0,1454.0,-1309.0,-1035.0,1315.0,-1299.0,-983.0,1415.0,-1206.0
-1029.0,1452.0,-1306.0,-1034.0,1313.0,-1297.0,-982.0,1414.0,-1204.0
-1028.0,1450.0,-1304.0,-1032.0,1312.0,-1295.0,-981.0,1412.0,-1202.0
-1026.0,1449.0,-1302.0,-1031.0,1310.0,-1293.0,-979.0,1410.0,-1200.0
-1025.0,1447.0,-1300.0,-1030.0,1309.0,-1291.0,-978.0,1408.0,-1198.0
-1024.0,1445.0,-1298.0,-1028.0,1307.0,-1289.0,-976.0,1406.0,-1196.0
-1022.0,1443.0,-1296.0,-1027.0,1305.0,-1287.0,-975.0,1404.0,-1194.0
-1021.0,1441.0,-1293.0,-1025.0,1304.0,-1285.0,-974.0,1402.0,-1193.0
-1020.0,1439.0,-1291.0,-1024.0,1302.0,-1283.0,-972.0,1401.0,-1191.0
-1018.0,1437.0,-1289.0,-1023.0,1300.0,-1281.0,-971.0,1399.0,-1189.0
-1017.0,1435.0,-1287.0,-1021.0,1299.0,-1279.0,-970.0,1397.0,-1187.0
-1015.0,1433.0,-1285.0,-1020.0,1297.0,-1277.0,-968.0,1395.0,-1185.0
-1014.0,1431.0,-1283.0,-1018.0,1295.0,-1275.0,-967.0,1393.0,-1183.0
-1012.0,1429.0,-1281.0,-1017.0,1293.0,-1273.0,-965.0,1391.0,-1181.0
-1011.0,1427.0,-1279.0,-1015.0,1292.0,-1271.0,-964.0,1389.0,-1180.0
-1010.0,1425.0,-1277.0,-1014.0,1290.0,-1269.0,-963.0,1387.0,-1178.0
-1008.0,1423.0,-1275.0,-1012.0,1288.0,-1267.0,-961.0,1385.0,-1176.0
-1007.0,1421.0,-1273.0,-1011.0,1286.0,-1265.0,-960.0,1383.0,-1174.0
-1005.0,1419.0,-1271.0,-1010.0,1285.0,-1263.0,-958.0,1381.0,-1172.0
-1004.0,1417.0,-1269.0,-1008.0,1283.0,-1262.0,-957.0,1379.0,-1171.0
-1003.0,1415.0,-1267.0,-1007.0,1281.0,-1260.0,-956.0,1377.0,-1169.0
-1001.0,1413.0,-1265.0,-1005.0,1279.0,-1258.0,-954.0,1375.0,-1167.0
-1000.0,1411.0,-1263.0,-1004.0,1278.0,-1256.0,-953.0,1373.0,-1165.0
-998.0,1409.0,-1261.0,-1002.0,1276.0,-1254.0,-952.0,1371.0,-1163.0
-997.0,1407.0,-1259.0,-1001.0,1274.0,-1252.0,-950.0,1369.0,-1162.0
-995.0,1405.0,-1258.0,-999.0,1272.0,-1250.0,-949.0,1368.0,-1160.0
-994.0,1403.0,-1256.0,-998.0,1270.0,-1248.0,-947.0,1366.0,-1158.0
-992.0,1401.0,-1254.0,-997.0,1269.0,-1246.0,-946.0,1364.0,-1157.0
-991.0,1399.0,-1252.0,-995.0,1267.0,-1245.0,-945.0,1362.0,-1155.0
-990.0,1397.0,-1250.0,-994.0,1265.0,-1243.0,-943.0,1360.0,-1153.0
-988.0,1395.0,-1248.0,-992.0,1263.0,-1241.0,-942.0,1358.0,-1151.0
-987.0,1393.0,-1246.0,-991.0,1261.0,-1239.0,-940.0,1356.0,-1150.0
-985.0,1391.0,-1244.0,-989.0,1260.0,-1237.0,-939.0,1354.0,-1148.0
-984.0,1389.0,-1242.0,-988.0,1258.0,-1235.0,-938.0,1352.0,-1146.0
-982.0,1387.0,-1241.0,-986.0,1256.0,-1233.0,-936.0,1350.0,-1144.0
-981.0,1385.0,-1239.0,-985.0,1254.0,-1232.0,-935.0,1348.0,-1143.0
-980.0,1383.0,-1237.0,-984.0,1252.0,-1230.0,-934.0,1346.0,-1141.0
-978.0,1381.0,-1235.0,-982.0,1250.0,-1228.0,-932.0,1344.0,-1139.0
-977.0,1379.0,-1233.0,-981.0,1249.0,-1226.0,-931.0,1342.0,-1138.0
-975.0,1377.0,-1231.0,-979.0,1247.0,-1224.0,-930.0,1340.0,-1136.0
-974.0,1375.0,-1230.0,-978.0,1245.0,-1223.0,-928.0,1338.0,-1134.0
-972.0,1373.0,-1228.0,-976.0,1243.0,-1221.0,-927.0,1336.0,-1133.0
-971.0,1371.0,-1226.0,-975.0,1241.0,-1219.0,-925.0,1334.0,-1131.0
-970.0,1369.0,-1224.0,-974.0,1240.0,-1217.0,-924.0,1332.0,-1129.0
-968.0,1367.0,-1222.0,-972.0,1238.0,-1215.0,-923.0,1330.0,-1128.0
-967.0,1365.0,-1220.0,-971.0,1236.0,-1214.0,-921.0,1328.0,-1126.0
-965.0,1363.0,-1219.0,-969.0,1234.0,-1212.0,-920.0,1326.0,-1124.0
-964.0,1361.0,-1217.0,-968.0,1232.0,-1210.0,-919.0,1324.0,-1123.0
-963.0,1359.0,-1215.0,-966.0,1231.0,-1208.0,-917.0,1323.0,-1121.0
-961.0,1357.0,-1213.0,-965.0,1229.0,-1206.0,-916.0,1321.0,-1119.0
-960.0,1355.0,-1211.0,-964.0,1227.0,-1205.0,-915.0,1319.0,-1118.0
-958.0,1353.0,-1210.0,-962.0,1225.0,-1203.0,-913.0,1317.0,-1116.0
-957.0,1351.0,-1208.0,-961.0,1223.0,-1201.0,-912.0,1315.0,-1114.0
-956.0,1349.0,-1206.0,-959.0,1222.0,-1199.0,-911.0,1313.0,-1113.0
-954.0,1347.0,-1204.0,-958.0,1220.0,-1197.0,-909.0,1311.0,-1111.0
-953.0,1345.0,-1202.0,-957.0,1218.0,-1196.0,-908.0,1309.0,-1109.0
-951.0,1343.0,-1201.0,-955.0,1216.0,-1194.0,-907.0,1307.0,-1108.0
-950.0,1341.0,-1199.0,-954.0,1215.0,-1192.0,-905.0,1305.0,-1106.0
-949.0,1339.0,-1197.0,-952.0,1213.0,-1190.0,-904.0,1303.0,-1104.0
-947.0,1337.0,-1195.0,-951.0,1211.0,-1189.0,-903.0,1301.0,-1103.0
-946.0,1336.0,-1194.0,-950.0,1209.0,-1187.0,-901.0,1299.0,-1101.0
-944.0,1334.0,-1192.0,-948.0,1207.0,-1185.0,-900.0,1298.0,-1100.0
-943.0,1332.0,-1190.0,-947.0,1206.0,-1183.0,-899.0,1296.0,-1098.0
-942.0,1330.0,-1188.0,-945.0,1204.0,-1182.0,-897.0,1294.0,-1096.0
-940.0,1328.0,-1187.0,-944.0,1202.0,-1180.0,-896.0,1292.0,-1095.0
-939.0,1326.0,-1185.0,-943.0,1200.0,-1178.0,-895.0,1290.0,-1093.0
-937.0,1324.0,-1183.0,-941.0,1199.0,-1176.0,-893.0,1288.0,-1091.0
-936.0,1322.0,-1181.0,-940.0,1197.0,-1175.0,-892.0,1286.0,-1090.0
-935.0,1320.0,-1180.0,-938.0,1195.0,-1173.0,-891.0,1284.0,-1088.0
-933.0,1318.0,-1178.0,-937.0,1193.0,-1171.0,-889.0,1282.0,-1087.0
-932.0,1316.0,-1176.0,-936.0,1192.0,-1170.0,-888.0,1280.0,-1085.0
-931.0,1314.0,-1174.0,-934.0,1190.0,-1168.0,-887.0,1279.0,-1083.0
-929.0,1312.0,-1173.0,-933.0,1188.0,-1166.0,-886.0,1277.0,-1082.0
-928.0,1310.0,-1171.0,-932.0,1186.0,-1164.0,-884.0,1275.0,-1080.0
-926.0,1308.0,-1169.0,-930.0,1185.0,-1163.0,-883.0,1273.0,-1079.0
-925.0,1306.0,-1167.0,-929.0,1183.0,-1161.0,-882.0,1271.0,-1077.0
-924.0,1305.0,-1166.0,-928.0,1181.0,-1159.0,-880.0,1269.0,-1076.0
-922.0,1303.0,-1164.0,-926.0,1179.0,-1158.0,-879.0,1267.0,-1074.0
-921.0,1301.0,-1162.0,-925.0,1178.0,-1156.0,-878.0,1266.0,-1072.0
-920.0,1299.0,-1161.0,-923.0,1176.0,-1154.0,-876.0,1264.0,-1071.0
-918.0,1297.0,-1159.0,-922.0,1174.0,-1152.0,-875.0,1262.0,-1069.0
-917.0,1295.0,-1157.0,-921.0,1172.0,-1151.0,-874.0,1260.0,-1068.0
-916.0,1293.0,-1155.0,-919.0,1171.0,-1149.0,-873.0,1258.0,-1066.0
-914.0,1291.0,-1154.0,-918.0,1169.0,-1147.0,-871.0,1256.0,-1064.0
-913.0,1289.0,-1152.0,-917.0,1167.0,-1146.0,-870.0,1254.0,-1063.0
-912.0,1287.0,-1150.0,-915.0,1166.0,-1144.0,-869.0,1253.0,-1061.0
-910.0,1285.0,-1149.0,-914.0,1164.0,-1142.0,-867.0,1251.0,-1060.0
-909.0,1284.0,-1147.0,-913.0,1162.0,-1141.0,-866.0,1249.0,-1058.0
1162.0,1535.0,258.0,1137.0,1420.0,256.0,1252.0,1489.0,341.0
1162.0,1535.0,258.0,1137.0,1420.0,256.0,1252.0,1489.0,341.0
1162.0,1535.0,258.0,1137.0,1420.0,256.0,1252.0,1489.0,341.0
1162.0,1535.0,258.0,1137.0,1420.0,256.0,1252.0,1489.0,341.0
1162.0,1535.0,258.0,1137.0,1420.0,256.0,1252.0,1489.0,341.0
1163.0,1544.0,267.0,1138.0,1430.0,261.0,1254.0,1501.0,351.0
1164.0,1545.0,267.0,1139.0,1430.0,262.0,1254.0,1501.0,352.0
1164.0,1546.0,269.0,1139.0,1431.0,263.0,1255.0,1502.0,353.0
1165.0,1547.0,271.0,1139.0,1433.0,265.0,1256.0,1504.0,355.0
1164.0,1551.0,281.0,1138.0,1437.0,273.0,1257.0,1510.0,365.0
1167.0,1555.0,283.0,1140.0,1442.0,276.0,1260.0,1514.0,367.0
1167.0,1557.0,287.0,1140.0,1444.0,281.0,1261.0,1516.0,371.0
1168.0,1559.0,293.0,1140.0,1446.0,286.0,1263.0,1519.0,377.0
1167.0,1563.0,305.0,1138.0,1451.0,296.0,1264.0,1525.0,388.0
1168.0,1567.0,311.0,1138.0,1455.0,303.0,1267.0,1529.0,395.0
1169.0,1570.0,318.0,1139.0,1459.0,309.0,1269.0,1533.0,401.0
1170.0,1573.0,326.0,1138.0,1462.0,317.0,1271.0,1536.0,408.0
1170.0,1576.0,333.0,1137.0,1465.0,324.0,1273.0,1540.0,415.0
1171.0,1581.0,340.0,1137.0,1470.0,330.0,1275.0,1545.0,422.0
1172.0,1584.0,347.0,1137.0,1473.0,336.0,1277.0,1549.0,428.0
1174.0,1587.0,353.0,1137.0,1474.0,341.0,1278.0,1553.0,434.0
1175.0,1590.0,359.0,1137.0,1477.0,347.0,1280.0,1557.0,439.0
1176.0,1594.0,365.0,1137.0,1481.0,352.0,1281.0,1561.0,445.0
1177.0,1598.0,370.0,1137.0,1485.0,357.0,1283.0,1566.0,450.0
1178.0,1601.0,375.0,1138.0,1488.0,361.0,1285.0,1570.0,455.0
1179.0,1604.0,379.0,1138.0,1491.0,364.0,1286.0,1573.0,458.0
1180.0,1608.0,382.0,1139.0,1495.0,366.0,1287.0,1577.0,460.0
1181.0,1611.0,384.0,1141.0,1498.0,366.0,1288.0,1581.0,461.0
1183.0,1613.0,384.0,1143.0,1502.0,364.0,1289.0,1585.0,460.0
1184.0,1616.0,382.0,1145.0,1504.0,361.0,1290.0,1589.0,457.0
1186.0,1619.0,380.0,1148.0,1507.0,357.0,1290.0,1592.0,454.0
1187.0,1622.0,378.0,1150.0,1510.0,354.0,1291.0,1596.0,452.0
1189.0,1625.0,376.0,1153.0,1513.0,352.0,1293.0,1600.0,451.0
1192.0,1628.0,374.0,1156.0,1516.0,350.0,1295.0,1603.0,450.0
1194.0,1632.0,372.0,1159.0,1518.0,348.0,1297.0,1605.0,448.0
1197.0,1635.0,370.0,1162.0,1521.0,347.0,1300.0,1608.0,448.0
1200.0,1639.0,370.0,1165.0,1524.0,348.0,1303.0,1611.0,449.0
1203.0,1642.0,371.0,1168.0,1527.0,350.0,1306.0,1614.0,451.0
1205.0,1646.0,372.0,1170.0,1530.0,352.0,1309.0,1617.0,454.0
1208.0,1650.0,374.0,1172.0,1533.0,354.0,1312.0,1620.0,456.0
1211.0,1653.0,375.0,1175.0,1536.0,356.0,1316.0,1623.0,458.0
1213.0,1656.0,377.0,1177.0,1540.0,358.0,1319.0,1626.0,460.0
1216.0,1660.0,380.0,1179.0,1543.0,360.0,1322.0,1630.0,462.0
1218.0,1663.0,381.0,1181.0,1546.0,362.0,1324.0,1633.0,464.0
1221.0,1666.0,383.0,1183.0,1549.0,363.0,1327.0,1636.0,465.0
1223.0,1670.0,384.0,1185.0,1552.0,364.0,1330.0,1640.0,466.0
1225.0,1673.0,385.0,1187.0,1556.0,365.0,1332.0,1643.0,467.0
1228.0,1676.0,386.0,1190.0,1559.0,365.0,1335.0,1647.0,468.0
1230.0,1679.0,387.0,1192.0,1562.0,366.0,1337.0,1650.0,468.0
1232.0,1683.0,387.0,1194.0,1565.0,366.0,1340.0,1653.0,469.0
1235.0,1686.0,387.0,1197.0,1568.0,366.0,1342.0,1657.0,469.0
1237.0,1689.0,388.0,1199.0,1571.0,366.0,1344.0,1660.0,469.0
1240.0,1692.0,388.0,1202.0,1574.0,366.0,1347.0,1663.0,470.0
1242.0,1696.0,389.0,1204.0,1577.0,367.0,1350.0,1667.0,471.0
